feature,anova_F,hard: mean(std),soft: mean(std)
orient_rest_a_roll3_std,4162.4,0.819 (0.65),1.84 (1.1)
accel_jerk_ratio,2155.1,0.456 (0.035),0.489 (0.04)
orient_rest_b_roll3_std,1994.3,0.94 (0.83),1.77 (1.2)
gyro_x_std,1375.2,4.28e+06 (2.6e+05),4.09e+06 (2.6e+05)
stance_duration,808.7,1.03 (0.094),1.09 (0.11)
gyro_x_strike,725.7,8.66e+06 (6e+05),8.33e+06 (6.7e+05)
accel_hf_frac,543.1,0.234 (0.079),0.199 (0.071)
accel_spec_centroid,522.1,4.37 (0.55),4.13 (0.46)
gyro_mag_strike,510.7,9.58e+06 (7.5e+05),9.25e+06 (7.2e+05)
accel_zcr,506.7,0.0706 (0.019),0.0789 (0.019)
gyro_hf_frac,440.9,0.212 (0.04),0.195 (0.04)
gyro_z_std,408.0,1.25e+06 (3.4e+05),1.12e+06 (2.6e+05)
gu_spatial_entropy_stance,401.0,0.981 (0.015),0.974 (0.021)
accel_spec_entropy,397.5,0.54 (0.057),0.518 (0.048)
heel_impulse_norm,260.1,0.187 (0.037),0.2 (0.046)
heel_fore_ratio,242.6,0.525 (0.14),0.571 (0.18)
gu_unload_slope,227.1,-0.212 (0.11),-0.245 (0.12)
heel_ripple_frac,222.0,0.00211 (0.0011),0.0018 (0.00091)
gyro_y_strike,206.9,2.1e+06 (7.2e+05),2.31e+06 (7e+05)
gu_stance_frac,196.8,0.908 (0.13),0.87 (0.15)
gu_load_first_frac,139.9,0.615 (0.036),0.624 (0.041)
orient_range_a,138.3,6.56 (4.6),7.74 (6.2)
accel_mag_strike,133.4,3.53e+04 (5e+03),3.42e+04 (5.3e+03)
gu_fore_early_frac,111.0,0.523 (0.07),0.538 (0.072)
gu_push_peak,102.7,1.34 (0.24),1.39 (0.23)
gu_dip_depth,96.7,0.564 (0.18),0.599 (0.18)
gyro_z_strike,95.0,3.31e+06 (1.1e+06),3.11e+06 (8.4e+05)
stance_duration_roll3_std,85.2,0.0218 (0.019),0.0253 (0.018)
gu_press_jitter,75.8,0.00726 (0.0029),0.00779 (0.0033)
loading_rate_norm,55.9,0.385 (0.24),0.421 (0.26)
orient_range_b,47.8,6.78 (12),8.48 (13)
gu_active_sensors,44.4,11.9 (0.35),12 (0.23)
gu_cop_wander,29.2,0.0536 (0.02),0.0558 (0.022)
loading_rate_roll3_std,26.3,421 (3.4e+02),387 (3e+02)
loading_rate,25.0,1.08e+03 (6e+02),1.03e+03 (5.1e+02)
gu_load_slope,20.9,0.0588 (0.03),0.0615 (0.032)
heel_kurt,19.2,-0.762 (0.38),-0.727 (0.45)
fall_slope,16.7,-0.72 (2.6),-0.94 (3)
gu_participation_ff,13.0,0.902 (0.081),0.896 (0.07)
slope_asym,12.2,1.05 (4.8),0.711 (4.7)
gu_spatial_entropy_ff,9.3,0.977 (0.022),0.975 (0.019)
heel_skew,2.6,0.892 (0.19),0.886 (0.21)
time_to_peak_frac,2.6,0.426 (0.49),0.441 (0.49)
gyro_y_std,2.5,1.12e+06 (2.7e+05),1.12e+06 (2.1e+05)
rise_slope,2.1,1.77 (4.1),1.65 (3.7)
impact_mag_roll3_std,1.7,2.11e+03 (3.3e+03),2.2e+03 (3.1e+03)
midstance_diff,1.4,-1.13 (17),-0.741 (15)
gu_fore_heel_toff,1.0,-0.0532 (0.48),-0.0628 (0.48)
