sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,asphalt,brick,transition
1,1775669099264,-2273,1445,9566,119729,19547,36651,0,0,0,374,409,279,384,289,425,525,384,374,434,432,360,0,,,
2,1775669099264,263,679,18444,-4786740,1249830,1043357,0,0,0,239,420,244,328,361,369,341,319,267,144,151,214,0,,,
1,1775669099280,-2273,1430,9595,124616,18325,36651,0,0,0,377,380,283,391,255,444,532,382,380,422,418,368,0,,,
2,1775669099280,492,-1598,18736,-4689001,1165530,1065348,0,0,0,238,418,241,326,359,371,342,320,268,142,150,212,0,,,
1,1775669099296,-2278,1411,9633,133168,17104,39095,0,0,0,376,371,291,395,246,437,529,365,376,411,396,374,0,,,
2,1775669099296,550,-4388,18832,-4414112,1060462,1058018,0,0,0,238,418,240,329,360,372,342,321,269,143,151,213,0,,,
1,1775669099312,-2278,1411,9681,158824,8552,46425,0,0,0,383,386,287,400,251,440,524,340,370,404,373,371,0,,,
2,1775669099312,344,-6661,18272,-3988950,919963,988379,0,0,0,239,419,242,331,362,372,342,322,269,145,153,213,0,,,
1,1775669099328,-2268,1416,9700,194255,-3665,57421,0,0,0,384,385,286,413,263,450,518,320,371,408,350,373,0,,,
2,1775669099328,177,-8279,17228,-3485597,753807,844215,0,0,0,240,420,243,329,361,371,340,320,266,145,153,213,0,,,
1,1775669099344,-2234,1383,9715,232128,-21991,65973,0,0,0,399,386,281,418,263,436,509,315,366,395,339,385,0,,,
2,1775669099344,258,-9657,15826,-2868623,581543,607200,0,0,0,238,420,239,329,360,369,340,317,265,147,154,215,0,,,
1,1775669099360,-2239,1335,9739,267558,-41538,69638,0,0,0,409,394,276,424,260,435,500,305,362,384,330,395,0,,,
2,1775669099360,354,-11069,14587,-2257757,480140,365297,0,0,0,235,418,233,331,363,368,344,322,265,150,159,214,0,,,
1,1775669099376,-2278,1282,9739,293215,-51312,75747,0,0,0,401,401,270,424,285,452,488,289,367,384,327,400,0,,,
2,1775669099376,-636,-13318,14122,-1525941,377514,172263,0,0,0,234,416,231,328,362,365,351,344,264,155,175,214,0,,,
1,1775669099392,-2282,1220,9724,310319,-47647,81855,0,0,0,395,403,268,415,314,453,473,279,376,373,323,407,0,,,
2,1775669099392,-2550,-16554,14170,-656069,61086,166155,0,0,0,233,411,229,324,356,360,362,364,261,173,196,212,0,,,
1,1775669099408,-2268,1172,9758,331088,-47647,89186,0,0,0,408,401,276,417,311,450,461,271,381,351,299,418,0,,,
2,1775669099408,-3713,-20133,14142,561996,-443488,316428,0,0,0,234,406,227,326,352,360,370,380,253,199,215,207,0,,,
1,1775669099424,-2263,1139,9810,365297,-57421,98960,0,0,0,427,403,276,420,324,456,457,276,386,347,291,436,0,,,
2,1775669099424,-3622,-20837,14462,1791056,-774577,465479,0,0,0,239,414,232,331,360,361,381,406,253,178,216,206,0,,,
1,1775669099440,-2230,1095,9849,406836,-72082,107512,0,0,0,425,402,256,416,321,461,456,254,383,341,265,432,0,,,
2,1775669099440,-1631,-9562,14309,2455678,-697608,487470,0,0,0,239,414,234,326,360,358,381,415,255,174,229,203,0,,,
