sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,brick
1,1775671630832,2627,-18588,10868,894306,938289,897971,0,0,0,233,319,238,271,235,312,357,314,282,225,278,118,0,
2,1775671630832,1253,449,12404,1679879,-26878,-368962,0,0,0,519,561,320,497,505,548,428,271,387,280,187,584,0,
1,1775671630848,-842,-12873,12979,1555262,1161865,885754,0,0,0,231,305,227,269,203,296,385,377,271,246,318,110,0,
2,1775671630848,1143,430,12940,2089159,-30543,-406836,0,0,0,524,555,295,495,512,545,396,265,384,281,190,594,0,
1,1775671630864,-3407,3086,14041,2267531,1670105,698829,0,0,0,235,290,205,270,189,281,430,393,272,276,347,102,0,
2,1775671630864,1062,421,13366,2483778,-116064,-393397,0,0,0,519,547,268,492,511,540,363,260,381,278,187,594,0,
1,1775671630880,-4134,11088,11572,2950479,2065946,551000,0,0,0,242,283,189,269,182,273,447,419,274,293,373,96,0,
2,1775671630880,1478,220,13807,2915048,-228463,-387288,0,0,0,520,548,267,486,512,539,326,254,375,271,184,595,0,
1,1775671630896,-2502,5460,10873,3771481,1777617,549778,0,0,0,241,285,187,274,180,275,459,441,284,305,393,98,0,
2,1775671630896,2196,47,14563,3415958,-354301,-461814,0,0,0,522,550,268,477,515,536,293,240,376,262,178,591,0,
1,1775671630912,-837,-851,14721,4026823,877202,652404,0,0,0,247,293,198,283,185,281,462,451,285,331,410,98,0,
2,1775671630912,2890,0,15726,3985284,-487470,-605978,0,0,0,517,546,257,477,515,529,272,219,383,256,172,572,0,
1,1775671630928,-1454,-1119,16879,3461162,392175,835663,0,0,0,256,293,234,302,190,295,469,460,286,356,420,108,0,
2,1775671630928,3388,-90,17391,4632801,-593761,-812450,0,0,0,507,537,252,486,510,526,264,192,383,247,163,535,0,
1,1775671630944,-3924,100,15836,2448347,323758,662177,0,0,0,264,303,260,315,203,329,480,463,301,373,427,133,0,
2,1775671630944,3359,-153,20301,5478239,-692721,-1034805,0,0,0,488,526,247,465,499,516,270,172,373,223,148,474,0,
1,1775671630960,-4163,-177,13639,1496619,250454,162490,0,0,0,286,313,263,334,213,353,493,465,311,381,431,165,0,
2,1775671630960,3694,143,22947,6195395,-703716,-1170417,0,0,0,448,517,239,454,486,488,274,174,359,215,144,411,0,
1,1775671630976,-2589,-181,11050,679282,62308,-162490,0,0,0,314,314,264,356,216,357,506,467,312,389,432,193,0,
2,1775671630976,4848,804,23809,6828251,-361632,-1351233,0,0,0,370,486,209,429,454,465,291,190,334,200,136,355,0,
1,1775671630992,-2120,402,9590,238237,-41538,-149051,0,0,0,325,318,274,359,223,363,514,464,322,399,430,213,0,x
2,1775671630992,5087,1014,24230,7331604,210137,-1632231,0,0,0,328,465,218,388,425,429,308,236,300,163,123,317,0,x
1,1775671631008,-2459,703,9518,91629,-20769,-57421,0,0,0,333,322,275,367,226,370,519,468,325,404,439,228,0,
2,1775671631008,5163,961,23895,7660250,882089,-1992642,0,0,0,275,435,229,352,392,391,319,277,277,128,113,229,0,
1,1775671631024,-2684,722,9782,34208,21991,-40317,0,0,0,339,333,280,368,228,370,534,476,320,405,458,245,0,
2,1775671631024,6891,2971,17980,7649254,1120326,-2448347,0,0,0,267,432,237,341,373,395,326,299,274,110,106,195,0,
1,1775671631040,-2636,784,9868,24434,54977,-29321,0,0,0,346,333,287,381,226,375,541,474,330,411,451,275,0,
2,1775671631040,7662,6642,11854,7224092,801455,-3014009,0,0,0,268,433,240,338,372,389,334,313,281,112,114,198,0,
1,1775671631056,-2483,909,9901,70860,47647,-1221,0,0,0,346,332,290,380,240,391,537,474,335,423,457,296,0,
