sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,compact ground
1,1778968573888,-1057,1622,10911,-394618,196698,-663399,0,0,0,456,349,358,323,236,374,494,291,383,405,428,400,0,
1,1778968573904,-1933,1593,11107,-592539,267558,-840550,0,0,0,455,346,362,310,232,375,487,288,382,390,436,397,0,
1,1778968573920,-2660,808,10782,-831998,-76969,-863763,0,0,0,458,344,354,311,232,369,490,298,379,390,425,395,0,
1,1778968573936,-2105,-234,10562,-824668,-511905,-801455,0,0,0,456,340,345,310,234,365,498,305,382,387,420,397,0,
1,1778968573952,-1239,-909,10667,-685390,-662177,-788016,0,0,0,453,338,349,305,233,365,494,298,389,371,419,400,0,
1,1778968573968,-483,-1373,10820,-547335,-502131,-821002,0,0,0,459,343,362,309,232,369,482,290,390,368,407,401,0,
1,1778968573984,-425,-2129,10452,-399505,-230907,-764803,0,0,0,460,343,364,306,233,368,480,293,378,361,403,391,0,
1,1778968574000,-454,-2608,10279,-217468,-90408,-609643,0,0,0,454,343,360,306,244,368,480,298,376,359,401,396,0,
1,1778968574016,-382,-2450,10638,-320093,1221,-461814,0,0,0,453,341,365,303,233,365,484,301,380,365,399,400,0,
1,1778968574032,-775,-2636,10557,-707381,32986,-362853,0,0,0,455,342,363,305,231,365,484,283,380,368,380,398,0,
1,1778968574048,-1411,-3780,9676,-982271,-89186,-228463,0,0,0,460,343,365,309,237,368,486,287,384,365,385,398,0,
1,1778968574064,-1239,-4795,9179,-779464,-217468,-54977,0,0,0,472,359,364,313,242,370,487,290,385,371,391,407,0,
1,1778968574080,-703,-5350,9231,-583987,-210137,36651,0,0,0,456,348,358,309,237,371,485,299,382,382,419,405,0,
1,1778968574096,-277,-6680,9672,-503352,-24434,50090,0,0,0,450,349,349,308,238,374,490,316,384,407,419,395,0,
1,1778968574112,-411,-10945,9552,-51312,163711,131946,0,0,0,450,364,359,315,233,366,509,363,386,434,437,393,0,
1,1778968574128,-1689,-13333,9356,625526,19547,256563,0,0,0,465,375,367,336,236,359,541,406,368,453,495,393,0,
1,1778968574144,-3187,-8332,10897,829554,-321315,306654,0,0,0,473,380,382,336,239,362,544,425,355,468,531,400,0,
