sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,transition,asphalt,concrete
1,1778969533984,-536,138,13055,1203404,34208,81855,0,0,0,488,420,353,343,293,376,503,332,376,414,416,471,0,,,
1,1778969534000,-1148,-148,13510,1560149,144164,67195,0,0,0,486,398,368,331,270,362,497,349,372,420,426,428,0,,,
2,1778969534000,1325,650,10064,-283441,142942,63529,0,0,0,440,372,406,389,266,376,691,623,311,574,686,313,0,,,
1,1778969534016,-1899,-311,14089,1866804,376292,107512,0,0,0,458,366,338,322,253,354,496,356,369,410,429,417,0,,,
2,1778969534016,1411,674,9949,-199142,161268,9773,0,0,0,441,376,420,384,270,368,688,633,289,579,690,326,0,,,
1,1778969534032,-2077,-105,14855,2006081,831998,141720,0,0,0,451,340,340,314,229,352,511,354,377,400,428,417,0,,,
2,1778969534032,1483,708,9930,-135612,142942,-39095,0,0,0,444,373,406,389,244,353,688,642,289,576,697,324,0,,,
1,1778969534048,-2120,143,15300,1977981,1584584,57421,0,0,0,447,324,335,318,231,356,505,349,368,423,428,407,0,,,
2,1778969534048,1550,760,9930,-90408,78190,-63529,0,0,0,449,379,418,385,246,368,701,643,285,580,705,331,0,,,
1,1778969534064,-3838,1330,14668,1888795,2006081,-83077,0,0,0,450,328,340,319,235,358,504,355,372,412,419,418,0,,,
2,1778969534064,1569,813,9873,-18325,-13439,-83077,0,0,0,454,393,409,404,258,379,706,634,266,590,708,326,0,,,
1,1778969534080,-6671,4225,12873,1745852,1497841,-408057,0,0,0,450,330,338,319,236,360,502,357,373,404,418,411,0,,,
2,1778969534080,1526,827,9882,86742,-84299,-109955,0,0,0,463,392,415,396,249,380,701,621,275,577,701,314,0,,,
1,1778969534096,-7748,7418,11055,1549154,504574,-1158200,0,0,0,450,327,336,319,238,369,500,362,378,400,418,419,0,,,
2,1778969534096,1440,765,9920,195476,-106290,-124616,0,0,0,464,388,413,393,242,385,703,608,298,580,696,314,0,,,
1,1778969534112,-7552,9303,9830,1341460,-267558,-1963320,0,0,0,451,326,342,318,234,372,502,356,380,399,412,422,0,,,
2,1778969534112,1363,641,9911,277332,-105068,-123394,0,0,0,461,391,402,399,248,389,699,583,310,580,688,316,0,,,
1,1778969534128,-6259,9705,9375,1106887,-773355,-2359161,0,0,0,456,323,353,319,227,374,505,346,373,390,412,420,0,,,
2,1778969534128,1335,521,9815,307876,-96516,-109955,0,0,0,454,388,403,400,252,396,686,561,319,572,677,321,0,,,
1,1778969534144,-4091,9394,9351,780685,-1125213,-2169793,0,0,0,456,316,348,323,228,373,505,343,367,390,415,424,0,,,
2,1778969534144,1378,445,9691,302989,-112399,-97738,0,0,0,447,380,437,388,253,412,679,555,329,572,672,338,0,,,
1,1778969534160,-2148,9021,9758,433714,-1279151,-1672549,0,0,0,455,315,341,328,233,367,505,342,367,403,425,418,0,x,,
2,1778969534160,1421,402,9614,282219,-163711,-89186,0,0,0,453,389,471,384,271,423,686,559,337,582,677,357,0,x,,
1,1778969534176,-358,8738,10672,-74525,-1160643,-992045,0,0,0,459,320,347,327,233,367,508,339,366,401,428,405,0,,,
2,1778969534176,1383,397,9595,252898,-240680,-85521,0,0,0,471,416,473,403,297,419,694,557,340,592,673,365,0,,,
1,1778969534192,234,8030,10969,-718377,-718377,-409279,0,0,0,456,320,348,325,232,367,512,343,369,388,412,408,0,,,
2,1778969534192,1340,425,9672,249233,-305432,-81855,0,0,0,482,440,465,413,303,416,690,547,338,575,659,366,0,,,
1,1778969534208,-129,7006,10591,-1230282,-382401,3665,0,0,0,455,324,353,327,231,360,507,345,370,393,417,409,0,,,
2,1778969534208,1316,373,9853,274889,-354301,-84299,0,0,0,495,496,447,422,341,425,686,541,333,551,664,372,0,,,
1,1778969534224,-957,5886,10040,-1590693,-287106,196698,0,0,0,454,328,355,342,243,358,495,358,375,392,407,412,0,,,
2,1778969534224,1172,282,9959,313984,-348193,-86742,0,0,0,500,497,446,405,367,427,681,531,348,535,656,382,0,,,
1,1778969534240,-1670,4843,9820,-1848478,-419053,58643,0,0,0,452,330,355,310,235,356,502,351,372,384,407,414,0,,,
2,1778969534240,1038,234,9978,354301,-295658,-80634,0,0,0,503,478,449,415,324,414,650,497,339,543,643,403,0,,,
1,1778969534256,-2000,3613,9710,-2083050,-648738,-241902,0,0,0,453,331,355,310,230,356,501,355,372,380,403,407,0,,,
2,1778969534256,1000,201,9992,408057,-219911,-72082,0,0,0,499,471,434,433,359,449,633,483,330,511,594,391,0,,,
1,1778969534272,-1703,2287,9657,-2224771,-878424,-593761,0,0,0,454,332,354,307,230,357,502,344,371,376,409,411,0,,,
2,1778969534272,1072,215,10088,494800,-155159,-79412,0,0,0,514,465,438,436,353,446,627,449,343,519,538,405,0,,,
1,1778969534288,-1158,1249,9696,-2315179,-1038470,-893084,0,0,0,451,326,349,313,230,358,505,343,367,379,406,419,0,,,
2,1778969534288,1129,95,10169,598647,-100181,-100181,0,0,0,531,477,469,433,326,442,586,366,359,503,487,400,0,,,
1,1778969534304,-650,425,9667,-2434908,-1117883,-1087340,0,0,0,453,334,352,310,241,358,502,348,366,377,408,418,0,,,
2,1778969534304,1091,-90,10122,678060,-48869,-119729,0,0,0,545,484,437,425,365,449,569,340,350,457,455,420,0,,,
1,1778969534320,-224,-454,9428,-2515543,-1106887,-1133765,0,0,0,448,329,351,306,236,356,503,353,371,366,396,420,0,,,
