sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt
1,1773244790912,-2033,1344,9983,19547,146607,0,0,0,0,327,370,330,382,233,417,597,597,334,548,562,258,0
1,1773244790928,-1852,1344,10131,144164,100181,23212,0,0,0,355,375,347,393,228,436,591,592,364,554,557,296,0
2,1773244790928,1871,2134,14711,5694485,-1924225,883311,0,0,0,261,420,172,367,369,378,478,513,272,260,397,176,0
1,1773244790944,-1718,1268,10303,249233,13439,54977,0,0,0,374,389,331,397,227,433,584,581,369,538,543,296,0
2,1773244790944,-5843,-3627,20928,5023755,-464257,588874,0,0,0,256,434,191,373,375,394,510,527,286,283,415,187,0
1,1773244790960,-1679,1277,10212,329867,-98960,67195,0,0,0,369,388,313,395,232,427,584,565,371,516,537,306,0
2,1773244790960,-3603,-703,21588,3684739,-248011,-359188,0,0,0,273,442,226,385,374,401,539,544,289,303,414,214,0
1,1773244790976,-1799,1268,9935,392175,-204028,59864,0,0,0,362,388,383,386,225,484,561,548,399,502,517,344,0
2,1773244790976,2727,1277,16104,2271196,-249233,-392175,0,0,0,292,458,266,398,378,420,549,561,297,321,413,243,0
1,1773244790992,-1962,1115,9662,398284,-205250,46425,0,0,0,368,390,331,390,219,469,569,532,391,497,506,333,0
2,1773244790992,3441,746,11509,1227839,-140499,73303,0,0,0,321,474,292,409,388,437,562,574,309,339,420,271,0
1,1773244791008,-2053,942,9480,353080,-145385,41538,0,0,0,359,391,338,395,228,481,557,515,390,469,495,337,0
2,1773244791008,1239,-224,9782,483805,-125838,299323,0,0,0,343,489,304,418,397,445,573,581,312,353,430,289,0
1,1773244791024,-2038,856,9629,260228,-57421,45204,0,0,0,356,401,353,393,230,480,551,487,392,459,486,339,0
2,1773244791024,856,205,10260,122173,-246789,120951,0,0,0,354,500,318,420,401,446,581,591,315,372,440,304,0
1,1773244791040,-1995,866,9964,177150,13439,52534,0,0,0,356,409,336,395,235,459,555,467,382,449,466,339,0
2,1773244791040,1244,995,10485,-57421,-313984,-14660,0,0,0,365,504,328,421,400,448,590,600,323,387,455,315,0
1,1773244791056,-1909,938,9911,172263,31764,57421,0,0,0,340,411,325,396,239,447,559,448,376,448,449,341,0
2,1773244791056,1316,1349,10256,-64751,-246789,-6108,0,0,0,374,508,319,427,403,453,600,603,329,391,471,311,0
1,1773244791072,-1852,966,9638,222354,4886,57421,0,0,0,326,414,337,396,249,449,556,432,380,443,436,344,0
2,1773244791072,1229,1411,10155,-42760,-171042,7330,0,0,0,381,515,323,429,417,451,598,606,321,392,474,313,0
1,1773244791088,-1809,952,9585,254119,-12217,58643,0,0,0,327,422,346,396,259,454,553,417,384,436,422,352,0
2,1773244791088,1191,1445,10165,-1221,-144164,-3665,0,0,0,388,516,328,424,407,455,601,609,318,395,475,328,0
1,1773244791104,-1770,871,9638,260228,-21991,56199,0,0,0,330,426,355,397,258,464,552,399,388,440,405,371,0
2,1773244791104,1172,1545,10184,65973,-144164,-23212,0,0,0,392,516,337,426,400,449,594,604,318,394,474,309,0
1,1773244791120,-1799,794,9667,265115,-34208,56199,0,0,0,329,422,370,407,259,477,549,378,396,435,393,401,0
2,1773244791120,1134,1569,10126,153938,-118507,-34208,0,0,0,390,515,330,423,400,444,588,605,311,391,469,328,0
1,1773244791136,-1909,789,9719,296880,-42760,68416,0,0,0,337,427,369,428,270,477,555,359,385,426,390,421,0
2,1773244791136,1091,1459,9959,226020,-79412,-32986,0,0,0,399,525,328,423,405,440,584,606,318,380,423,332,0
1,1773244791152,-1962,799,9853,377514,-35430,100181,0,0,0,338,450,358,420,298,480,550,343,392,410,372,430,0
2,1773244791152,1091,1392,9853,262672,-52534,-30543,0,0,0,402,524,338,428,411,452,579,592,321,320,366,328,0
1,1773244791184,-1957,626,9949,538783,-35430,175929,0,0,0,356,500,341,447,374,496,552,285,411,371,327,496,0
2,1773244791184,1158,1335,9830,290771,-42760,-26878,0,0,0,406,529,328,430,414,458,570,574,324,293,332,338,0
1,1773244791200,-2043,540,10007,634078,-50090,213802,0,0,0,375,513,374,483,364,523,551,245,416,366,278,520,0
2,1773244791200,1167,1244,9806,280998,-54977,-28099,0,0,0,410,534,325,432,418,460,566,565,327,291,324,339,0
1,1773244791216,-2335,488,10346,761138,-72082,270002,0,0,0,396,524,373,489,391,549,530,240,426,329,251,537,0
2,1773244791216,1134,1186,9796,250454,-64751,-34208,0,0,0,411,538,322,439,425,463,563,552,331,292,316,343,0
1,1773244791232,-2526,459,11040,910189,-91629,362853,0,0,0,411,530,343,497,433,561,501,217,446,309,231,567,0
2,1773244791232,1129,1182,9801,230907,-70860,-39095,0,0,0,414,543,324,440,426,462,563,538,334,290,302,351,0
1,1773244791248,-2378,454,11773,1145983,-85521,448375,0,0,0,418,537,291,511,442,577,483,202,465,297,223,573,0
2,1773244791248,1162,1201,9815,232128,-86742,-42760,0,0,0,422,550,331,435,424,457,560,522,336,287,287,359,0
1,1773244791264,-1785,325,12596,1562593,-130725,480140,0,0,0,426,543,252,524,462,589,443,199,467,284,207,582,0
2,1773244791264,1148,1191,9820,254119,-114842,-43982,0,0,0,425,553,336,441,426,461,554,503,335,287,275,370,0
1,1773244791280,-1426,172,13625,2056172,-261450,454483,0,0,0,438,544,232,536,494,597,406,191,469,271,192,595,0
2,1773244791280,1105,1153,9853,282219,-135612,-45204,0,0,0,437,561,343,451,433,476,561,493,340,294,263,392,0
1,1773244791296,-1895,186,14596,2583959,-367740,431270,0,0,0,455,556,222,535,519,596,361,187,468,247,180,593,0
2,1773244791296,1081,1105,9949,317649,-136833,-45204,0,0,0,457,573,353,457,439,477,553,476,346,294,253,399,0
1,1773244791312,-3182,416,15467,3302337,-335975,537561,0,0,0,464,565,236,526,528,590,301,180,455,234,181,590,0
2,1773244791312,1086,1072,10031,367740,-122173,-51312,0,0,0,462,572,339,470,452,488,546,457,355,289,248,421,0
1,1773244791328,-4603,540,16549,4061032,-147829,785572,0,0,0,464,558,270,518,520,588,263,159,458,224,175,581,0
