sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt
1,1773244354720,-1679,-646,9992,14660,-17104,-6108,0,0,0,258,361,259,306,194,323,408,304,294,308,351,169,0
2,1773244354720,1880,129,9801,46425,-48869,-31764,0,0,0,276,461,224,369,377,373,396,390,262,180,215,178,0
1,1773244354736,-1732,-626,9992,26878,-7330,12217,0,0,0,259,362,260,308,193,323,408,304,295,306,349,166,0
2,1773244354736,1895,157,9825,9773,-52534,-23212,0,0,0,275,461,224,369,376,373,391,386,259,179,215,177,0
1,1773244354752,-1804,-512,9940,34208,0,37873,0,0,0,260,362,259,306,192,321,411,307,296,307,349,166,0
2,1773244354752,1914,47,9810,-8552,-57421,-17104,0,0,0,274,459,221,368,376,373,393,387,260,177,213,177,0
1,1773244354768,-1842,-406,9873,31764,-1221,46425,0,0,0,260,362,259,307,195,323,411,307,297,307,350,168,0
2,1773244354768,1943,-67,9834,0,-53756,-8552,0,0,0,274,458,221,370,377,375,391,385,261,181,214,178,0
1,1773244354784,-1880,-373,9825,28099,-8552,34208,0,0,0,258,363,260,304,210,322,412,306,295,308,351,168,0
2,1773244354784,1938,-105,9897,13439,-43982,2443,0,0,0,273,457,219,369,377,373,388,384,260,178,212,176,0
1,1773244354800,-1909,-373,9806,34208,-20769,14660,0,0,0,260,363,261,309,197,324,411,304,296,310,351,168,0
2,1773244354800,1876,-100,9920,2443,-43982,4886,0,0,0,274,458,222,371,382,376,392,387,261,178,213,178,0
1,1773244354816,-1890,-311,9815,40317,-31764,9773,0,0,0,260,362,261,308,191,323,411,304,297,309,351,170,0
2,1773244354816,1842,-157,9892,-3665,-54977,-1221,0,0,0,274,458,222,370,379,375,395,388,261,178,214,178,0
1,1773244354832,-1832,-229,9796,29321,-30543,15882,0,0,0,258,360,259,307,192,322,410,305,298,307,350,168,0
2,1773244354832,1871,-253,9863,6108,-62308,-4886,0,0,0,275,458,221,371,379,375,396,389,261,180,214,178,0
1,1773244354848,-1813,-172,9739,20769,-28099,20769,0,0,0,258,361,259,309,194,324,410,305,298,306,349,165,0
2,1773244354848,1928,-339,9882,26878,-59864,2443,0,0,0,276,458,221,372,381,376,396,390,262,225,232,179,0
1,1773244354864,-1852,-119,9676,24434,-31764,18325,0,0,0,258,361,260,310,195,326,411,305,297,306,348,167,0
2,1773244354864,1981,-363,9935,40317,-47647,14660,0,0,0,275,457,219,371,379,375,395,389,261,244,240,177,0
1,1773244354880,-1871,-95,9657,28099,-42760,10995,0,0,0,257,360,260,310,196,326,410,305,297,308,350,171,0
2,1773244354880,1995,-344,9944,41538,-37873,14660,0,0,0,274,455,216,371,376,373,395,388,259,180,212,176,0
1,1773244354896,-1818,-114,9681,24434,-50090,2443,0,0,0,258,361,260,310,197,325,410,307,296,307,350,171,0
2,1773244354896,1957,-344,9892,40317,-36651,0,0,0,0,274,458,215,370,377,372,395,388,259,177,211,175,0
1,1773244354912,-1746,-172,9724,17104,-50090,2443,0,0,0,257,361,259,309,199,323,410,307,295,307,348,172,0
2,1773244354912,1909,-272,9853,46425,-37873,-13439,0,0,0,275,459,218,370,377,374,396,389,262,177,211,174,0
1,1773244354928,-1698,-263,9777,14660,-45204,3665,0,0,0,256,360,258,307,199,323,409,306,297,308,350,173,0
