sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt
1,1768494463136,-928,598,9868,17104,-32986,8552,0,0,0,294,390,223,409,292,406,603,430,371,499,508,363,0
1,1768494463152,-928,603,9877,18325,-32986,8552,0,0,0,294,390,225,409,292,408,603,434,372,499,509,362,0
1,1768494463168,-928,603,9882,17104,-32986,8552,0,0,0,296,391,226,410,293,408,603,439,372,502,512,363,0
1,1768494463184,-923,603,9877,15882,-34208,8552,0,0,0,295,392,226,414,297,411,604,441,372,502,513,362,0
1,1768494463200,-923,607,9877,15882,-32986,8552,0,0,0,295,392,227,412,297,411,601,438,368,514,505,362,0
1,1768494463216,-928,598,9877,14660,-32986,7330,0,0,0,295,390,223,410,298,408,600,442,370,510,511,363,0
1,1768494463232,-938,598,9868,14660,-34208,7330,0,0,0,295,390,222,411,297,408,602,444,371,505,518,364,0
1,1768494463248,-933,598,9873,14660,-32986,7330,0,0,0,296,392,224,412,294,410,602,443,370,504,518,364,0
1,1768494463264,-933,603,9882,14660,-32986,7330,0,0,0,297,394,226,410,293,409,601,441,369,502,516,362,0
1,1768494463280,-928,607,9887,14660,-34208,7330,0,0,0,297,393,227,409,293,408,600,440,368,502,516,363,0
1,1768494463296,-928,607,9887,14660,-35430,8552,0,0,0,296,392,226,409,292,408,601,442,370,505,520,366,0
1,1768494463312,-923,607,9887,15882,-35430,8552,0,0,0,294,391,224,407,291,408,606,447,376,505,519,368,0
1,1768494463328,-923,612,9892,17104,-34208,7330,0,0,0,295,391,226,407,292,408,605,445,375,503,517,364,0
1,1768494463344,-928,612,9887,15882,-34208,8552,0,0,0,296,392,226,412,297,414,601,441,370,504,514,363,0
1,1768494463360,-928,603,9887,14660,-34208,8552,0,0,0,295,390,227,410,294,412,601,440,371,502,513,363,0
1,1768494463376,-928,603,9887,13439,-34208,8552,0,0,0,295,391,228,409,292,409,601,439,369,504,514,364,0
1,1768494463392,-928,607,9892,14660,-34208,7330,0,0,0,297,390,225,409,292,409,603,439,366,502,513,363,0
