sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt
1,1769098504112,-866,-62,9944,28099,-35430,10995,0,0,0,270,355,194,399,278,394,546,433,349,420,447,334,0
1,1769098504128,-871,-67,9949,29321,-35430,10995,0,0,0,274,357,196,399,278,393,548,436,351,424,448,335,0
1,1769098504144,-871,-81,9944,32986,-36651,12217,0,0,0,272,359,197,399,276,398,546,437,357,425,447,342,0
1,1769098504160,-871,-81,9940,32986,-36651,12217,0,0,0,269,363,200,397,270,407,543,430,374,420,445,357,0
1,1769098504176,-871,-86,9940,31764,-36651,10995,0,0,0,273,363,200,394,268,405,542,420,379,420,439,356,0
1,1769098504192,-880,-90,9944,30543,-35430,10995,0,0,0,284,352,202,402,253,399,551,407,359,431,429,344,0
1,1769098504208,-880,-95,9944,30543,-34208,10995,0,0,0,284,362,202,402,255,400,551,413,364,431,432,346,0
1,1769098504224,-866,-100,9935,25656,-32986,12217,0,0,0,285,364,204,397,248,394,555,418,363,426,434,339,0
1,1769098504240,-866,-100,9925,19547,-32986,10995,0,0,0,288,359,211,405,252,404,555,419,360,420,435,347,0
1,1769098504256,-875,-105,9925,12217,-34208,8552,0,0,0,286,352,206,409,249,402,556,417,357,419,436,345,0
1,1769098504272,-880,-100,9930,9773,-35430,6108,0,0,0,284,354,206,405,250,403,556,414,354,417,441,352,0
1,1769098504288,-880,-95,9935,9773,-36651,6108,0,0,0,284,358,208,401,253,404,555,415,354,413,440,352,0
1,1769098504304,-880,-95,9940,12217,-37873,7330,0,0,0,279,357,208,404,255,409,555,416,354,413,438,351,0
1,1769098504320,-885,-90,9940,9773,-37873,7330,0,0,0,276,356,207,410,259,416,558,417,358,414,439,351,0
1,1769098504336,-890,-90,9944,7330,-37873,8552,0,0,0,278,355,204,412,260,415,561,419,361,414,438,348,0
1,1769098504352,-890,-90,9949,7330,-37873,7330,0,0,0,279,357,206,408,257,409,559,418,362,418,439,348,0
1,1769098504368,-894,-95,9949,8552,-37873,7330,0,0,0,281,361,212,409,257,415,557,420,370,422,441,361,0
1,1769098504384,-894,-100,9954,13439,-37873,8552,0,0,0,278,358,206,413,260,415,556,421,363,420,441,354,0
1,1769098504400,-890,-95,9954,13439,-37873,8552,0,0,0,279,356,205,412,259,413,542,433,369,420,442,351,0
1,1769098504416,-890,-90,9949,9773,-37873,8552,0,0,0,279,356,205,410,260,413,562,422,363,418,439,351,0
1,1769098504432,-899,-90,9949,8552,-39095,7330,0,0,0,283,359,209,406,259,413,561,422,363,417,440,351,0
1,1769098504448,-899,-95,9954,8552,-37873,7330,0,0,0,294,360,206,408,260,414,558,426,364,423,442,354,0
1,1769098504464,-894,-105,9964,10995,-36651,6108,0,0,0,289,360,205,407,259,411,558,423,364,424,437,350,0
1,1769098504480,-894,-105,9959,10995,-36651,6108,0,0,0,288,361,206,406,257,411,559,422,365,427,438,352,0
1,1769098504496,-899,-100,9954,10995,-37873,6108,0,0,0,286,361,204,409,259,410,560,424,365,430,441,354,0
1,1769098504512,-899,-100,9949,6108,-37873,4886,0,0,0,284,363,202,409,271,409,559,424,364,427,441,354,0
1,1769098504528,-904,-100,9949,3665,-36651,4886,0,0,0,285,364,202,406,274,406,561,424,363,427,446,357,0
1,1769098504544,-909,-95,9959,2443,-36651,4886,0,0,0,284,363,201,407,259,404,567,427,365,431,448,361,0
1,1769098504560,-914,-86,9978,6108,-35430,6108,0,0,0,283,363,204,407,260,409,564,425,366,427,445,361,0
1,1769098504576,-918,-90,9987,12217,-34208,7330,0,0,0,285,365,205,407,263,410,561,421,363,430,451,362,0
1,1769098504592,-904,-90,9959,12217,-32986,7330,0,0,0,282,363,207,407,261,414,563,425,369,429,449,361,0
1,1769098504608,-904,-90,9944,8552,-32986,7330,0,0,0,286,364,203,408,263,411,562,421,363,431,448,359,0
1,1769098504624,-904,-90,9944,4886,-32986,6108,0,0,0,286,364,197,408,275,408,560,424,363,433,448,355,0
1,1769098504640,-909,-86,9954,3665,-31764,6108,0,0,0,286,364,199,409,267,408,565,426,366,435,447,363,0
1,1769098504656,-914,-76,9959,4886,-30543,6108,0,0,0,286,362,199,409,262,407,567,427,364,436,447,370,0
1,1769098504672,-909,-76,9964,7330,-30543,6108,0,0,0,283,362,199,407,263,407,567,426,363,435,444,372,0
1,1769098504688,-904,-76,9964,9773,-30543,7330,0,0,0,283,363,199,408,265,409,566,427,363,435,447,368,0
1,1769098504704,-909,-81,9954,10995,-31764,7330,0,0,0,284,364,199,407,265,407,567,429,367,436,450,369,0
1,1769098504720,-914,-86,9954,10995,-31764,8552,0,0,0,287,366,204,407,262,408,567,431,369,436,450,365,0
1,1769098504736,-904,-81,9959,10995,-31764,8552,0,0,0,290,367,207,408,261,409,566,424,367,435,448,360,0
1,1769098504752,-904,-76,9959,10995,-31764,8552,0,0,0,289,366,205,409,263,409,567,422,366,435,449,361,0
1,1769098504768,-904,-76,9964,13439,-31764,8552,0,0,0,287,365,204,409,262,410,566,432,366,436,451,355,0
1,1769098504784,-904,-86,9959,15882,-34208,8552,0,0,0,287,362,201,409,261,410,565,428,361,433,449,352,0
1,1769098504800,-904,-86,9959,17104,-34208,8552,0,0,0,288,364,201,408,259,410,566,431,362,436,453,356,0
1,1769098504816,-904,-81,9964,18325,-34208,9773,0,0,0,290,364,205,406,262,409,571,434,369,437,452,356,0
1,1769098504832,-904,-76,9968,17104,-34208,9773,0,0,0,288,363,205,406,262,408,571,434,368,437,454,358,0
1,1769098504848,-904,-81,9954,15882,-35430,9773,0,0,0,287,362,203,408,262,411,568,431,368,438,455,361,0
1,1769098504864,-904,-81,9949,13439,-34208,9773,0,0,0,290,363,203,408,262,411,570,434,372,436,453,361,0
1,1769098504880,-904,-81,9949,13439,-34208,10995,0,0,0,288,363,201,399,254,403,532,387,375,432,449,360,0
1,1769098504896,-904,-86,9964,12217,-35430,9773,0,0,0,289,363,202,406,261,408,555,410,367,437,451,364,0
1,1769098504912,-904,-90,9964,12217,-35430,8552,0,0,0,288,362,202,410,265,412,570,428,367,438,450,362,0
1,1769098504928,-909,-95,9968,12217,-34208,8552,0,0,0,289,361,201,409,266,412,569,427,369,436,446,357,0
1,1769098504944,-914,-86,9978,14660,-32986,8552,0,0,0,293,360,200,411,264,412,570,431,373,437,447,359,0
1,1769098504960,-909,-81,9973,18325,-31764,9773,0,0,0,297,360,198,413,263,410,571,435,373,441,452,365,0
1,1769098504976,-909,-81,9964,20769,-31764,9773,0,0,0,298,361,196,411,263,407,568,432,369,442,451,366,0
1,1769098504992,-909,-81,9959,18325,-31764,9773,0,0,0,299,361,196,411,266,409,566,430,369,441,450,363,0
1,1769098505008,-904,-90,9959,13439,-31764,8552,0,0,0,298,361,198,413,268,411,569,433,372,439,448,362,0
1,1769098505024,-904,-81,9959,9773,-31764,7330,0,0,0,298,361,194,412,267,409,569,435,372,441,450,366,0
1,1769098505040,-909,-81,9959,9773,-31764,7330,0,0,0,298,361,194,411,267,409,569,434,372,441,450,366,0
1,1769098505056,-914,-81,9964,10995,-31764,7330,0,0,0,296,366,200,415,270,412,571,436,377,439,450,365,0
1,1769098505072,-918,-81,9973,13439,-31764,7330,0,0,0,294,366,201,412,270,411,571,434,375,435,449,367,0
1,1769098505088,-914,-86,9978,14660,-31764,8552,0,0,0,295,365,200,410,267,410,575,430,377,435,446,368,0
1,1769098505104,-909,-95,9973,14660,-31764,7330,0,0,0,297,365,200,411,269,407,572,434,378,442,450,371,0
1,1769098505120,-904,-90,9968,12217,-30543,7330,0,0,0,298,364,198,415,271,408,571,435,377,444,453,371,0
1,1769098505136,-899,-90,9968,12217,-30543,7330,0,0,0,296,365,198,415,271,410,570,437,378,440,449,367,0
1,1769098505152,-899,-86,9973,12217,-30543,7330,0,0,0,295,366,198,413,271,409,570,438,379,439,449,367,0
1,1769098505168,-904,-76,9973,12217,-30543,8552,0,0,0,295,366,200,412,271,408,571,437,376,444,454,372,0
1,1769098505184,-909,-76,9973,12217,-31764,8552,0,0,0,295,366,202,412,270,408,570,437,375,444,453,374,0
1,1769098505200,-909,-81,9973,12217,-32986,8552,0,0,0,296,367,203,413,270,408,570,437,376,439,448,368,0
1,1769098505216,-909,-86,9973,12217,-32986,7330,0,0,0,290,365,201,411,268,407,564,424,374,435,444,364,0
1,1769098505232,-909,-90,9973,10995,-31764,7330,0,0,0,289,364,200,401,256,399,536,384,379,434,444,365,0
1,1769098505248,-914,-95,9978,10995,-31764,7330,0,0,0,287,364,197,415,271,410,569,435,374,444,453,373,0
1,1769098505264,-904,-86,9978,12217,-30543,7330,0,0,0,288,365,197,413,269,408,568,434,372,441,452,371,0
1,1769098505280,-904,-86,9968,13439,-30543,7330,0,0,0,289,368,200,412,270,408,571,438,376,443,452,373,0
1,1769098505296,-904,-90,9964,15882,-30543,7330,0,0,0,288,366,199,410,271,406,569,433,376,441,449,370,0
1,1769098505312,-904,-90,9973,17104,-30543,7330,0,0,0,288,366,199,411,269,408,567,429,375,442,453,371,0
1,1769098505328,-914,-95,9978,18325,-30543,8552,0,0,0,290,370,200,412,267,409,568,432,376,441,453,369,0
1,1769098505344,-918,-90,9973,18325,-30543,9773,0,0,0,290,371,201,414,273,412,556,417,383,441,452,362,0
1,1769098505360,-914,-90,9973,19547,-30543,9773,0,0,0,290,371,200,415,276,412,554,417,382,443,454,357,0
1,1769098505376,-914,-86,9978,21991,-30543,9773,0,0,0,293,371,200,414,271,408,565,436,377,445,455,356,0
1,1769098505392,-909,-81,9973,21991,-30543,9773,0,0,0,293,371,199,414,272,408,568,436,380,444,452,354,0
1,1769098505408,-904,-81,9968,21991,-30543,9773,0,0,0,291,372,199,415,272,411,566,436,383,444,450,358,0
1,1769098505424,-904,-90,9968,21991,-30543,9773,0,0,0,292,372,201,416,272,413,563,435,382,446,449,357,0
1,1769098505440,-909,-95,9973,21991,-29321,10995,0,0,0,292,371,199,417,271,408,564,434,378,448,448,354,0
1,1769098505456,-909,-95,9978,23212,-29321,10995,0,0,0,296,371,199,415,271,406,568,436,388,448,448,356,0
1,1769098505472,-909,-95,9964,21991,-29321,10995,0,0,0,294,372,200,414,268,405,568,436,381,447,448,349,0
1,1769098505488,-904,-100,9964,20769,-29321,9773,0,0,0,291,371,196,413,272,404,566,434,383,450,451,350,0
1,1769098505504,-904,-95,9973,17104,-29321,9773,0,0,0,291,371,195,415,276,406,566,433,383,450,449,350,0
1,1769098505520,-899,-95,9978,15882,-30543,8552,0,0,0,292,370,196,417,276,411,566,434,382,450,449,353,0
1,1769098505536,-899,-100,9978,15882,-31764,8552,0,0,0,292,371,199,416,275,413,565,433,383,450,449,357,0
1,1769098505552,-899,-105,9983,17104,-30543,8552,0,0,0,292,371,200,415,276,412,563,432,383,448,448,358,0
1,1769098505568,-904,-110,9983,18325,-30543,8552,0,0,0,291,370,200,414,278,412,563,432,382,447,448,358,0
1,1769098505584,-904,-110,9978,18325,-30543,9773,0,0,0,293,369,201,413,277,412,564,431,379,447,447,357,0
1,1769098505600,-894,-105,9968,18325,-30543,9773,0,0,0,293,368,199,411,275,410,565,431,377,442,445,354,0
