sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt
2,1769098504112,1062,181,10016,41538,-58643,-20769,0,0,0,453,536,288,450,413,458,557,411,371,288,231,471,0
2,1769098504128,1072,181,10021,45204,-61086,-21991,0,0,0,451,535,287,453,416,460,557,411,377,289,234,472,0
2,1769098504144,1067,181,10021,47647,-62308,-23212,0,0,0,449,534,282,455,417,461,556,413,381,292,238,475,0
2,1769098504160,1052,172,10007,48869,-62308,-24434,0,0,0,446,532,280,451,413,458,558,416,383,288,234,471,0
2,1769098504176,1043,157,10002,48869,-62308,-24434,0,0,0,444,530,280,448,413,457,560,415,383,283,230,468,0
2,1769098504192,1048,148,10002,46425,-62308,-23212,0,0,0,444,531,279,452,418,461,558,408,384,287,234,472,0
2,1769098504208,1052,153,10002,45204,-62308,-23212,0,0,0,444,534,278,452,415,458,559,409,386,284,229,472,0
2,1769098504224,1052,162,10002,41538,-62308,-23212,0,0,0,446,534,280,453,416,460,558,405,385,290,231,473,0
2,1769098504240,1052,153,10002,37873,-62308,-21991,0,0,0,445,535,278,453,416,460,555,398,378,291,231,473,0
2,1769098504256,1048,153,10002,37873,-62308,-19547,0,0,0,442,533,275,453,417,464,560,405,386,287,229,470,0
2,1769098504272,1048,153,10016,37873,-63529,-19547,0,0,0,443,533,274,452,418,464,559,401,380,287,229,470,0
2,1769098504288,1048,143,10016,37873,-63529,-19547,0,0,0,448,537,283,458,420,471,553,399,377,288,230,469,0
2,1769098504304,1043,134,10021,37873,-64751,-19547,0,0,0,444,534,278,456,417,470,561,404,383,290,234,471,0
2,1769098504320,1038,134,10021,35430,-65973,-19547,0,0,0,446,536,280,458,423,471,507,398,392,286,229,470,0
2,1769098504336,1038,129,10026,35430,-65973,-18325,0,0,0,443,535,277,455,421,469,527,403,390,284,228,468,0
2,1769098504352,1033,124,10021,34208,-65973,-17104,0,0,0,442,534,276,449,413,462,561,406,385,285,227,469,0
2,1769098504368,1038,124,10016,32986,-63529,-17104,0,0,0,443,535,280,447,412,463,559,403,384,287,227,470,0
2,1769098504384,1043,124,10011,32986,-62308,-17104,0,0,0,444,535,281,452,418,468,556,400,384,290,229,471,0
2,1769098504400,1043,119,10007,32986,-62308,-18325,0,0,0,445,534,279,454,419,468,553,397,380,290,228,473,0
2,1769098504416,1038,119,10007,30543,-62308,-18325,0,0,0,444,533,277,451,419,462,550,398,379,292,230,476,0
2,1769098504432,1038,119,10011,26878,-61086,-18325,0,0,0,448,536,279,454,431,459,552,403,383,292,229,476,0
2,1769098504448,1028,119,10016,24434,-61086,-18325,0,0,0,447,535,277,452,414,465,545,398,376,293,231,475,0
2,1769098504464,1019,119,10021,23212,-59864,-18325,0,0,0,446,535,275,457,420,470,552,404,385,289,228,473,0
2,1769098504480,1014,119,10016,21991,-58643,-18325,0,0,0,446,536,274,451,415,463,552,405,383,293,232,477,0
2,1769098504496,1014,119,10007,15882,-56199,-15882,0,0,0,446,535,276,453,417,467,552,404,383,291,231,473,0
2,1769098504512,1024,119,10011,10995,-53756,-15882,0,0,0,446,536,278,455,419,468,552,404,382,292,232,475,0
2,1769098504528,1028,124,10031,10995,-53756,-15882,0,0,0,446,535,276,459,423,472,552,404,384,290,228,476,0
