time_utc,lat,lon,ele,elapsed_s,total_pressure,total_pressure_R,total_pressure_L,p_norm
2026-04-24 19:09:08+00:00,42.336990321055055,-71.090600034222,3.0,0.0,3935.5,3809.0,4062.0,0.6773248787977886
2026-04-24 19:09:09+00:00,42.33698168769479,-71.09059609472752,3.0,1.0,3675.5,3919.0,3432.0,0.30767590315196863
2026-04-24 19:09:10+00:00,42.33698286116123,-71.09059617854655,3.0,2.0,3592.5,4173.0,3012.0,0.18967257631118764
2026-04-24 19:09:11+00:00,42.336983447894454,-71.0906058177352,3.0,3.0,3531.0,2840.0,4222.0,0.10223637630265715
2026-04-24 19:09:12+00:00,42.33698948286474,-71.09060657210648,3.0,4.0,3415.5,2683.0,4148.0,0.0
2026-04-24 19:09:13+00:00,42.336997697129846,-71.0906142834574,3.0,5.0,3411.5,2661.0,4162.0,0.0
2026-04-24 19:09:14+00:00,42.33699786476791,-71.09063029289246,3.0,6.0,3509.5,3081.0,3938.0,0.07166924947040665
2026-04-24 19:09:15+00:00,42.33700222335756,-71.090650241822,3.0,7.0,3595.5,4073.0,3118.0,0.19393775679940864
2026-04-24 19:09:16+00:00,42.337009347975254,-71.0906639881432,3.0,8.0,3514.0,4056.0,2972.0,0.07806702020273815
2026-04-24 19:09:17+00:00,42.337013958022,-71.0906763933599,3.0,9.0,3612.0,2840.0,4384.0,0.21739624948462413
2026-04-24 19:09:18+00:00,42.33702133409679,-71.09068938530982,3.200000047683716,10.0,3395.0,2749.0,4041.0,0.0
2026-04-24 19:09:19+00:00,42.337026530876756,-71.0907036345452,3.200000047683716,11.0,3650.5,3285.0,4016.0,0.27213273241679364
2026-04-24 19:09:20+00:00,42.33702829107642,-71.09071796759963,3.4000000953674316,12.0,3577.0,4084.0,3070.0,0.16763581045537915
2026-04-24 19:09:21+00:00,42.33703097328544,-71.09073355793953,3.4000000953674316,13.0,3481.5,3994.0,2969.0,0.03186089824701066
2026-04-24 19:09:22+00:00,42.33703667297959,-71.09075677581131,3.4000000953674316,14.0,3516.0,4041.0,2991.0,0.08091047386155215
2026-04-24 19:09:23+00:00,42.33703734353185,-71.09078108333051,3.5999999046325684,15.0,3639.5,4268.0,3011.0,0.25649373729331665
2026-04-24 19:09:24+00:00,42.3370364215225,-71.09080337919295,3.799999952316284,16.0,3659.0,4294.0,3024.0,0.28421741046675314
2026-04-24 19:09:25+00:00,42.33703809790313,-71.0908228252083,3.799999952316284,17.0,3548.5,3552.0,3545.0,0.12711659581727963
2026-04-24 19:09:26+00:00,42.33704237267375,-71.09084093011916,3.799999952316284,18.0,3567.5,2877.0,4258.0,0.15412940557601265
2026-04-24 19:09:27+00:00,42.33704539015889,-71.09085367061198,4.0,19.0,3533.0,2734.0,4332.0,0.10507982996147115
2026-04-24 19:09:28+00:00,42.33705058693886,-71.0908648185432,4.0,20.0,3492.5,2717.0,4268.0,0.047499893370487656
2026-04-24 19:09:29+00:00,42.33705259859562,-71.09087638556957,4.0,21.0,3470.0,2787.0,4153.0,0.01551103970883016
2026-04-24 19:09:30+00:00,42.337058885023,-71.0908872820437,4.0,22.0,3560.0,2769.0,4351.0,0.14346645435546015
2026-04-24 19:09:31+00:00,42.3370657581836,-71.09089524485171,4.0,23.0,3794.5,3687.0,3902.0,0.4768613958514016
2026-04-24 19:09:32+00:00,42.33707229606807,-71.09090832062066,4.0,24.0,3608.5,4131.0,3086.0,0.21242020558169963
2026-04-24 19:09:33+00:00,42.33707891777158,-71.09092273749411,4.0,25.0,3484.5,3901.0,3068.0,0.03612607873523166
2026-04-24 19:09:34+00:00,42.33708629384637,-71.09093732200563,4.0,26.0,3513.0,3989.0,3037.0,0.07664529337333115
2026-04-24 19:09:35+00:00,42.337094927206635,-71.09095425345004,4.0,27.0,3611.0,4215.0,3007.0,0.21597452265521713
2026-04-24 19:09:36+00:00,42.337103141471744,-71.09097495675087,4.0,28.0,3672.5,4337.0,3008.0,0.30341072266374763
2026-04-24 19:09:37+00:00,42.33710783533752,-71.09099448658526,4.0,29.0,3600.5,3708.0,3493.0,0.20104639094644364
2026-04-24 19:09:38+00:00,42.33711403794587,-71.09101317822933,3.799999952316284,30.0,3563.0,2853.0,4273.0,0.14773163484368115
2026-04-24 19:09:39+00:00,42.33711848035455,-71.0910318698734,3.799999952316284,31.0,3561.0,2776.0,4346.0,0.14488818118486715
2026-04-24 19:09:40+00:00,42.337122755125165,-71.09104963950813,3.799999952316284,32.0,3556.0,2855.0,4257.0,0.13777954703783216
2026-04-24 19:09:41+00:00,42.33713272958994,-71.0910630505532,3.799999952316284,33.0,3483.0,2763.0,4203.0,0.03399348849112116
2026-04-24 19:09:42+00:00,42.33714245259762,-71.09107646159828,3.5999999046325684,34.0,3613.0,2784.0,4442.0,0.21881797631403113
2026-04-24 19:09:43+00:00,42.337148739025,-71.09108936972916,3.5999999046325684,35.0,3641.0,2991.0,4291.0,0.25862632753742715
2026-04-24 19:09:44+00:00,42.337162820622325,-71.09109682962298,3.5999999046325684,36.0,3747.0,4166.0,3328.0,0.4093293714545691
2026-04-24 19:09:45+00:00,42.33714781701565,-71.09112574718893,3.5999999046325684,37.0,3601.5,4084.0,3119.0,0.20246811777585064
2026-04-24 19:09:46+00:00,42.33715779148042,-71.09113186597824,3.4000000953674316,38.0,3560.0,4077.0,3043.0,0.14346645435546015
2026-04-24 19:09:47+00:00,42.337158378213644,-71.09114963561296,3.4000000953674316,39.0,3658.5,4298.0,3019.0,0.28350654705204964
