step,ground_type,predicted_ground_type,contact_time_sec,midstance_time_sec,loading_rate,midstance_pressure
1,Brick,Brick,1.536,1.536,1484.3749999999986,2136.0
1,Grass,Grass,1.808,1.808,937.5000000000011,2406.0
1,Concrete,Concrete,1.84,1.84,1088.5416666666679,2261.0
2,Brick,Brick,2.608,2.608,1555.2083333333321,2397.0
2,Concrete,Concrete,2.976,2.976,602.2727272727268,2181.0
2,Grass,Grass,2.992,2.992,993.7499999999991,2226.0
3,Brick,Brick,3.728,3.728,1212.7976190476234,2231.0
3,Concrete,Concrete,4.096,4.096,1299.8511904761895,2329.0
3,Grass,Grass,4.128,4.128,972.0643939393931,2205.0
4,Brick,Brick,4.816,4.816,1396.5773809523798,2211.0
4,Concrete,Concrete,5.184,5.184,1657.2916666666652,2265.0
4,Grass,Grass,5.296,5.296,1126.1160714285704,2319.0
5,Brick,Brick,5.904,5.904,1277.5297619047608,2209.0
5,Concrete,Concrete,6.288,6.288,1882.8124999999984,2600.0
5,Grass,Grass,6.448,6.448,924.6527777777824,2235.0
6,Brick,Brick,6.976,6.976,1041.6666666666658,2327.0
6,Concrete,Concrete,7.456,7.456,1107.9545454545537,2353.0
6,Grass,Grass,7.616,7.616,968.4027777777769,2108.0
7,Brick,Brick,8.064,8.064,1737.4999999999986,2356.0
7,Concrete,Concrete,8.592,8.592,1548.958333333332,2509.0
7,Grass,Grass,8.816,8.816,1624.9999999999986,2153.0
8,Brick,Brick,9.136,9.136,1628.1249999999984,2404.0
8,Concrete,Concrete,9.744,9.744,1162.4999999999989,2254.0
8,Grass,Grass,9.968,9.968,1316.9642857142844,2310.0
9,Brick,Brick,10.24,10.24,1051.542207792207,2071.0
9,Concrete,Concrete,10.864,10.864,1632.8124999999986,2573.0
9,Grass,Grass,11.152,11.152,1059.027777777777,2432.0
10,Brick,Brick,11.28,11.28,1294.642857142856,2395.0
10,Concrete,Concrete,12.016,12.016,1396.8749999999989,2312.0
10,Grass,Grass,12.32,12.32,1505.2083333333321,2281.0
11,Brick,Brick,12.368,12.368,1146.093749999999,2334.0
11,Concrete,Concrete,13.136,13.136,1574.9999999999986,2153.0
12,Brick,Brick,13.456,13.456,1221.0227272727261,2370.0
11,Grass,Grass,13.52,13.52,1164.9305555555545,2228.0
12,Concrete,Concrete,14.224,14.224,1325.5208333333321,2376.0
13,Brick,Brick,14.592,14.592,1464.5833333333321,2185.0
12,Grass,Grass,14.688,14.688,1266.1830357142846,2240.0
13,Concrete,Concrete,15.344,15.344,997.15909090909,2303.0
14,Brick,Brick,15.68,15.68,1489.2857142857129,2386.0
13,Grass,Grass,15.84,15.84,1879.6874999999984,2288.0
14,Concrete,Concrete,16.464,16.464,,2405.0
15,Brick,Brick,16.752,16.752,1103.977272727293,2471.0
14,Grass,Grass,16.992,16.992,1128.124999999999,2314.0
15,Concrete,Concrete,17.6,17.6,2281.249999999998,2164.0
16,Brick,Brick,17.872,17.872,1552.3437500000214,2173.0
15,Grass,Grass,18.144,18.144,1340.2777777777699,2272.0
16,Concrete,Concrete,18.704,18.704,1375.0000000000205,2497.0
17,Brick,Brick,18.976,18.976,1487.4999999999986,2062.0
16,Grass,Grass,19.344,19.344,1867.1875000000146,2219.0
17,Concrete,Concrete,19.824,19.824,954.4270833333325,2453.0
18,Brick,Brick,20.064,20.064,1514.8437500000218,2250.0
17,Grass,Grass,20.496,20.496,1624.9999999998945,2311.0
18,Concrete,Concrete,20.96,20.96,1589.843750000039,2341.0
19,Brick,Brick,21.184,21.184,1759.9431818181847,2268.0
18,Grass,Grass,21.68,21.68,1626.7857142856806,2226.0
19,Concrete,Concrete,22.096,22.096,1060.3298611111177,2272.0
20,Brick,Brick,22.32,22.32,884.3749999999992,2292.0
19,Grass,Grass,22.88,22.88,1416.6666666666501,2270.0
20,Concrete,Concrete,23.216,23.216,1274.305555555579,2253.0
21,Brick,Brick,23.44,23.44,1656.2500000000355,2181.0
20,Grass,Grass,24.08,24.08,1318.4523809523705,2301.0
21,Concrete,Concrete,24.352,24.352,1396.875000000019,2282.0
22,Brick,Brick,24.576,24.576,2006.2500000000427,2179.0
22,Concrete,Concrete,25.472,25.472,936.0795454545495,2293.0
23,Brick,Brick,25.68,25.68,1652.0833333333103,2191.0
23,Concrete,Concrete,26.624,26.624,1130.1136363636135,2279.0
24,Brick,Brick,26.752,26.752,1371.8750000000214,2394.0
24,Concrete,Concrete,27.776,27.776,2931.2499999999973,2459.0
25,Brick,Brick,27.856,27.856,1125.0000000000025,2256.0
26,Brick,Brick,28.928,28.928,1466.964285714271,2362.0
25,Concrete,Concrete,28.944,28.944,1495.8333333333117,2248.0
27,Brick,Brick,30.016,30.016,1123.106060606056,2295.0
26,Concrete,Concrete,30.112,30.112,1390.9722222221953,2179.0
28,Brick,Brick,31.12,31.12,1609.3749999999986,2347.0
22,Grass,Grass,31.224,31.224,1166.8526785714378,2127.0
29,Brick,Brick,32.24,32.24,1359.090909090941,2228.0
23,Grass,Grass,32.504,32.504,1259.3749999999322,2194.0
24,Grass,Grass,33.672,33.672,1390.624999999991,2096.0
25,Grass,Grass,34.792,34.792,948.2638888889044,2496.0
