foot,step_id,surface,contact_time_sec,stance_duration,time_to_peak_frac,impact_mag,impact_mag_norm,accel_mag_strike,loading_rate,loading_rate_norm,heel_pmax_ratio,fore_pmax_ratio,heel_mean_ratio,fore_mean_ratio,heel_fore_ratio,total_pmax,total_p_mean,midstance_diff,heel_impulse,heel_impulse_norm,rise_slope,fall_slope,slope_asym,heel_skew,heel_kurt,gyro_mag_strike,gyro_x_strike,gyro_y_strike,gyro_z_strike,gyro_x_std,gyro_y_std,gyro_z_std,pressure_01_mean_ratio,pressure_02_mean_ratio,pressure_03_mean_ratio,pressure_04_mean_ratio,pressure_05_mean_ratio,pressure_06_mean_ratio,pressure_07_mean_ratio,pressure_08_mean_ratio,pressure_09_mean_ratio,pressure_10_mean_ratio,pressure_11_mean_ratio,pressure_12_mean_ratio,impact_mag_roll3_std,loading_rate_roll3_std,stance_duration_roll3_std
right,0,brick,0.912,1.104,0.9855072463768116,39827.0,3.2717803566769232,40960.10529771622,265.625,0.0842540191167836,0.26265119723525054,0.4403850901012096,0.2030391866813695,0.3728355880691751,0.5445810249301979,4051.0,2655.785714285714,-45.19999999999999,524.4857142857143,0.19748796428283263,0.8529411764705882,-6.0,-5.147058823529412,0.35616789521466724,-1.5907382395217804,8098941.522834821,6921103.0,3580892.0,2206445.0,3829568.9212453654,1162949.9123045977,583022.9248640935,0.038594981307657136,0.037578333019553,0.025964874532691428,0.09340792340173745,0.06803474893090557,0.10235335251875959,0.13615556332535436,0.0986148839461015,0.07146123019821952,0.11979774616067346,0.10442430273526801,0.103612059923079,0.0,0.0,0.0
right,1,brick,2.032,1.04,0.03076923076923077,14376.0,0.8296421026865802,32964.02988106885,734.375,0.23293758226404876,0.2857142857142857,0.43726937269372695,0.19337322311762875,0.3926088610659565,0.49253402633965393,3794.0,2628.4545454545455,6.0,492.5,0.1873724622142289,12.5,-0.9682539682539683,11.531746031746032,0.7155046804427523,-1.004034893678809,9693232.856384551,9417098.0,2151467.0,805120.0,4117900.508432502,1342263.8314629728,537112.1410214481,0.033929374329886214,0.03289754320432562,0.021334117294411974,0.09277833500501505,0.07586552761733475,0.11244653500732081,0.11762874831390724,0.09074925927206907,0.07862092023196025,0.12255732715387542,0.10262396384555966,0.11856834872433392,17996.57468797882,331.45630368119413,0.04525483399593908
right,2,brick,3.088,1.024,0.984375,37755.0,3.072962610330297,39982.00807863457,2011.71875,0.6381002918403463,0.2957629465522016,0.4937690390473553,0.18586887706052008,0.3948343377025348,0.47075155150353953,3611.0,2624.4307692307693,-5.800000000000011,471.83846153846156,0.17978697211996156,0.8253968253968254,-9.0,-8.174603174603174,0.5847219833190692,-1.282055390510796,7929736.871253043,6718295.0,4036597.0,1204626.0,4315908.06315042,1570542.3213091223,559076.08814685,0.03206556146973996,0.029562454568902854,0.01990761366567402,0.09848289445916476,0.0737214809951462,0.11388843294956268,0.134558116631885,0.08996529650385725,0.07917907472975826,0.11660257462424085,0.09590358055666283,0.1161629188454053,14134.026472783095,903.7124360061598,0.04233202097703349
right,3,brick,4.128,1.072,0.07462686567164178,45962.0,3.8604612803432135,47857.90084197174,703.125,0.22302534472089774,0.29129852744310575,0.46586345381526106,0.2070625738547363,0.369210475693204,0.5608252947475566,3735.0,2675.6617647058824,-26.400000000000006,538.6985294117648,0.20133282035780045,7.6,-0.8548387096774194,6.745161290322581,0.3852727648257461,-1.6500429802766425,8128332.043306117,6817256.0,4184426.0,1444085.0,4259386.958434135,1369640.8061198613,634307.2765891938,0.027469839786748742,0.02049520459479513,0.015691555140289647,0.09893099563054768,0.06581109676000989,0.10780730440517738,0.14002033581576848,0.10039847206573414,0.07616587430267388,0.12774739619115666,0.10666410178900217,0.11279782351809613,16389.0608130342,746.6593623939372,0.024440403706431142
right,4,brick,5.216,1.056,0.030303030303030304,45374.0,3.8040400280016033,46491.266201298495,4159.226190476191,1.3192716158622417,0.2875605815831987,0.47926763597199784,0.1785413920080011,0.3971280174569259,0.4495814552474763,3714.0,2626.507462686567,-4.400000000000006,453.36567164179104,0.17261160612810839,11.5,-0.40625,11.09375,0.8833830650797662,-0.7041635629456904,8040375.43112192,7115358.0,3270572.0,1822821.0,4428824.5710323425,1332258.0521400266,713682.1560913586,0.03537414192844479,0.03193617311451562,0.02184388780288221,0.09883165886257217,0.07465790789653134,0.11437923353184525,0.12812542619448106,0.08726758194299222,0.07732304405146156,0.11537368732099833,0.09127381006500886,0.12361344728826658,4578.022753693269,1744.9374987971444,0.024440403706431142
right,5,brick,6.288,1.056,0.0,20708.0,1.4372260649775257,32107.568718294446,546.875,0.1734641570051427,0.27908217716115263,0.4599786552828175,0.1776124396758516,0.40210617050113706,0.4417053323363053,3748.0,2631.9253731343283,-22.5,452.34328358208955,0.17186782277318122,0.0,-1.0,-1.0,0.9477723435138223,-0.5941112902754218,8635928.717073746,7672467.0,3340211.0,2134363.0,4161905.803311296,1280988.1806898613,597307.2754903043,0.03970760864017603,0.04175480183056499,0.02230363107423769,0.09689291648472545,0.07992559785413324,0.1102592166225282,0.11607755516363369,0.08285745070574291,0.07327363770918514,0.11419481793590755,0.09475498897010871,0.12799777700905643,14413.661436290224,2041.9814978204258,0.009237604307034044
right,6,brick,7.36,1.056,1.0,46077.0,3.871496049083494,49018.93873800207,2798.6111111111113,0.887695939975524,0.2754747258625301,0.45306231612730674,0.17485557114294867,0.40110903688320876,0.4359302709843962,3739.0,2702.3582089552237,-19.0,457.3880597014925,0.16925515580642667,0.48484848484848486,0.0,0.48484848484848486,0.8300529535076201,-0.8020704691321994,7434874.022668575,6570466.0,3123964.0,1532050.0,4172015.2368381447,1140605.0511072618,674160.0878621773,0.05530824376719063,0.057832296833059016,0.029940681991406072,0.09268300765500559,0.07923427851848579,0.10246992676379944,0.10384517668371461,0.08062057462249667,0.06888952711285887,0.11433905157463356,0.09423499652045202,0.12060223795689778,14448.136708009557,1824.40264340652,0.0
right,7,brick,8.432,1.0079999999999991,0.015873015873015872,44627.0,3.7323620084451696,45806.60491675846,583.3333333333334,0.1850284341388189,0.27511712649661635,0.43909422175950025,0.18196489574743785,0.38968665331605606,0.4669518296272746,3842.0,2652.8125,-33.5,466.7734375,0.17595417599246083,23.0,-0.8064516129032258,22.193548387096776,0.8508442391704343,-0.8936529588313316,8085426.020794823,7049384.0,3028669.0,2550973.0,4276355.8193510445,1163783.2908669536,722203.5519499229,0.03566969018730121,0.03116385911179173,0.020962421957827777,0.10208505124278477,0.0726587348333137,0.11013075745081871,0.12801861232182823,0.08605253857933796,0.07364825067734715,0.12334786193897986,0.0959123571680999,0.12034986453056898,14246.679273898646,1289.6446769599813,0.027712812921102625
right,8,brick,9.456,0.9920000000000009,1.0,45015.0,3.7695923586297697,46364.18118547981,4734.375,1.5017039877873781,0.2924849437025399,0.4574495941345902,0.1722914646548258,0.3989724002554218,0.43183805331988906,3819.0,2684.6349206349205,50.30000000000001,445.5238095238095,0.1659532199702008,1.4516129032258065,0.0,1.4516129032258065,1.0350358576932246,-0.41914681815263455,8104339.0573294135,7101919.0,3075095.0,2405587.0,4309192.457829277,1096156.4593220411,762967.8139468795,0.038218669441619564,0.037331788189106735,0.025406191613650875,0.09851476952912519,0.07154175436936831,0.11310100986211954,0.13268926045928625,0.08303573540193458,0.07848307830570206,0.11522952486815032,0.08925572925289124,0.11719248870704538,750.6539371329599,2077.088683094885,0.033306655991457976
right,9,brick,10.464,1.0559999999999992,0.015151515151515152,44551.0,3.7250694656255057,52207.13991400027,3540.6746031746034,1.1230722473493955,0.30800214822771216,0.4701933404940924,0.18524367361986147,0.380358646190416,0.4870236958592623,3724.0,2712.5223880597014,-59.19999999999999,485.6194029850746,0.17902871700625622,25.0,-0.15384615384615385,24.846153846153847,0.8576754699126633,-0.7722913694077667,8247427.826080747,6745173.0,4243069.0,2125811.0,4344284.2869506935,1480252.3466451305,648980.5628028369,0.04239046104578544,0.036700983278217664,0.025151453457980952,0.09655054776355103,0.06871392491430019,0.10367064856745113,0.1343795222819538,0.09052542382207451,0.07472254166689594,0.11996324399275886,0.09471824979778694,0.11251299941124361,248.86944368459302,2137.051510145472,0.03330665599145745
