step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
1,Grass,0.285,0.33,0.385,3.568,1602.083333333332,1469.0,0.0,76,4118.248000000001
2,Concrete,0.32,0.365,0.315,4.72,1078.124999999999,1856.0,0.0,77,4154.768000000001
3,Brick,0.42,0.28,0.3,5.856,914.0624999999992,1975.0,0.0,71,3798.5519999999965
4,Brick,0.345,0.33,0.325,7.056,953.5714285714278,1649.0,0.0,74,4009.568000000001
5,Concrete,0.33,0.355,0.315,8.256,1906.2499999999984,1688.0,0.0,85,4578.895999999998
6,Concrete,0.325,0.35,0.325,9.552,1218.749999999999,1715.0,0.0,76,4054.2400000000034
7,Grass,0.33,0.325,0.345,10.816,1312.4999999999989,1854.0,0.0,76,4090.751999999999
8,Brick,0.35,0.325,0.325,12.048,2708.333333333331,1739.0,0.0,74,4062.4960000000037
9,Brick,0.37,0.325,0.305,13.184,1812.4999999999984,1751.0,0.0,71,3801.8719999999953
10,Brick,0.48,0.385,0.135,14.304,1335.9374999999986,1632.0,0.0,66,3543.192000000003
11,Brick,0.495,0.38,0.125,15.36,1162.4999999999989,1887.0,0.0,67,3627.8079999999954
12,Brick,0.5,0.365,0.135,16.432,1234.3749999999989,1796.0,0.0,67,3621.168000000003
13,Brick,0.41,0.36,0.23,17.504,1252.6041666666656,1662.0,0.0,68,3694.3199999999974
14,Brick,0.455,0.4,0.145,18.576,1005.2083333333323,1828.0,0.0,67,3620.2080000000033
15,Brick,0.435,0.39,0.175,19.68,1734.3749999999984,1632.0,0.0,68,3697.223999999998
16,Brick,0.425,0.365,0.21,20.768,2321.8750000000164,1698.0,0.0,68,3651.5119999999956
17,Brick,0.425,0.38,0.195,21.84,1026.0416666666547,1838.0,0.0,70,3812.6159999999986
18,Brick,0.46,0.375,0.165,22.976,1156.2499999999748,1673.0,0.0,68,3693.344000000011
19,Brick,0.42,0.325,0.255,24.064,999.9999999999991,1794.0,0.0,69,3737.5840000000035
20,Brick,0.4,0.36,0.24,25.168,1270.8333333333321,1858.0,0.0,69,3744.704000000004
21,Brick,0.455,0.38,0.165,26.256,1821.8750000000155,1777.0,0.0,67,3581.847999999989
22,Brick,0.425,0.365,0.21,27.36,792.9687499999993,1727.0,0.0,68,3657.6079999999956
23,Brick,0.44,0.4,0.16,28.432,1098.2142857142926,1836.0,0.0,68,3674.231999999996
24,Brick,0.485,0.365,0.15,29.504,1104.1666666666656,1726.0,0.0,66,3560.775999999998
25,Brick,0.42,0.375,0.205,30.576,800.0000000000392,1887.0,0.0,68,3723.639999999996
26,Concrete,0.38,0.4,0.22,31.664,895.3125000000127,1878.0,0.0,69,3802.0799999999904
